index_code,date,tri_close,price_close,div_yield_nominal_pct,div_yield_redrocket_did_pct,div_yield_redrocket_percentile_pct,div_yield_equal_pct,div_yield_ttm_pct,div_yield_ttm_equal_pct
930955,2018-04-19,12604.8300,9241.7100,3.4870,3.4870,11.1800,,,
930955,2018-04-20,12401.6900,9092.7700,3.4964,3.4964,11.3200,,,
930955,2018-04-23,12376.3000,9074.1500,3.4830,3.4830,11.0900,,,
930955,2018-04-24,12565.9900,9213.2200,3.4281,3.4281,10.1700,,,
930955,2018-04-25,12539.6500,9193.9100,3.4620,3.4620,10.7700,,,
930955,2018-04-26,12372.6900,9070.3200,3.4856,3.4856,11.1400,,,
930955,2018-04-27,12458.9000,9129.9900,3.4573,3.4573,10.6800,,,
930955,2018-05-02,12474.7800,9141.6200,3.4668,3.4668,10.8600,,,
930955,2018-05-03,12576.1600,9215.9100,3.4563,3.4563,10.5900,,,
930955,2018-05-04,12570.8700,9212.0400,3.4660,3.4660,10.8200,,,
930955,2018-05-07,12695.0500,9303.0400,3.4351,3.4351,10.2700,,,
930955,2018-05-08,12735.0400,9331.1800,3.4181,3.4181,10.0400,,,
930955,2018-05-09,12723.1400,9321.6900,3.4187,3.4187,10.0800,,,
930955,2018-05-10,12785.4900,9363.5800,3.4123,3.4123,9.9400,,,
930955,2018-05-11,12723.4900,9315.2200,3.4099,3.4099,9.7600,,,
930955,2018-05-14,12729.3400,9319.5000,3.4055,3.4055,9.7200,,,
930955,2018-05-15,12792.3000,9365.6000,3.3996,3.3996,9.6200,,,
930955,2018-05-16,12778.8200,9355.7300,3.4329,3.4329,10.2200,,,
930955,2018-05-17,12759.4800,9338.3500,3.4415,3.4415,10.4500,,,
930955,2018-05-18,12824.3700,9383.8400,3.4115,3.4115,9.8500,,,
930955,2018-05-21,12927.0700,9457.9900,3.3928,3.3928,9.5800,,,
930955,2018-05-22,12934.7200,9463.5800,3.4115,3.4115,9.8500,,,
930955,2018-05-23,12865.5200,9412.0600,3.4564,3.4564,10.6300,,,
930955,2018-05-24,12818.2300,9376.7000,3.4810,3.4810,10.9500,,,
930955,2018-05-25,12784.2600,9343.7600,3.5045,3.5045,11.4600,,,
930955,2018-05-28,12748.1400,9317.3600,4.0539,4.0539,17.0100,,,
930955,2018-05-29,12693.2400,9277.2300,4.0614,4.0614,17.1400,,,
930955,2018-05-30,12425.1800,9081.3200,4.1434,4.1434,19.9400,,,
930955,2018-05-31,12602.8600,9208.8400,4.0965,4.0965,18.3400,,,
930955,2018-06-01,12519.9000,9133.7100,4.1200,4.1200,18.9300,,,
930955,2018-06-04,12529.0500,9140.3800,4.1033,4.1033,18.3800,,,
930955,2018-06-05,12588.4500,9175.5600,4.1197,4.1197,18.8900,,,
930955,2018-06-06,12571.5800,9163.2700,4.5645,4.5645,45.8000,,,
930955,2018-06-07,12485.0400,9089.6200,4.5607,4.5607,45.6600,,,
930955,2018-06-08,12307.4000,8949.0700,4.6347,4.6347,48.6900,,,
930955,2018-06-11,12244.2500,8902.9700,4.1647,4.1647,21.3200,,,
930955,2018-06-12,12316.8500,8955.7600,4.1471,4.1471,20.0800,,,
930955,2018-06-13,12233.8600,8889.9800,4.1552,4.1552,20.7200,,,
