fund_code,index_code,date,nav_unit,nav_accum,daily_return_pct,div_yield_fund_ttm_pct,div_yield_index_did_pct
007751,931157,2025-04-11,1.1950,1.4861,0.2400,8.2929,6.0591
007751,931157,2025-04-14,1.2040,1.4951,0.7500,8.2309,5.9973
007751,931157,2025-04-15,1.2111,1.5022,0.5900,8.1826,5.9664
007751,931157,2025-04-16,1.2130,1.5041,0.1600,8.1698,5.9232
007751,931157,2025-04-17,1.2154,1.5065,0.2000,8.1537,5.9016
007751,931157,2025-04-18,1.2153,1.5064,-0.0100,8.1544,5.9207
007751,931157,2025-04-21,1.2131,1.5042,-0.1800,8.1692,5.9337
007751,931157,2025-04-22,1.2205,1.5116,0.6100,8.1196,6.0144
007751,931157,2025-04-23,1.2187,1.5098,-0.1500,8.1316,6.0261
007751,931157,2025-04-24,1.2257,1.5168,0.5700,8.0852,5.9987
007751,931157,2025-04-25,1.2270,1.5181,0.1100,8.0766,6.0130
007751,931157,2025-04-28,1.2321,1.5232,0.4200,8.0432,5.9733
007751,931157,2025-04-29,1.2285,1.5196,-0.2900,8.0667,6.0082
007751,931157,2025-04-30,1.2182,1.5093,-0.8400,8.1350,6.6449
007751,931157,2025-05-06,1.2210,1.5121,0.2300,8.1163,6.6193
007751,931157,2025-05-07,1.2306,1.5217,0.7900,8.0530,6.5417
007751,931157,2025-05-08,1.2367,1.5278,0.5000,8.0133,6.5246
007751,931157,2025-05-09,1.2467,1.5378,0.8100,7.9490,6.4929
007751,931157,2025-05-12,1.2518,1.5429,0.4100,7.9166,6.4602
007751,931157,2025-05-13,1.2628,1.5539,0.8800,7.8476,6.4201
007751,931157,2025-05-14,1.2721,1.5632,0.7400,7.7903,6.3545
007751,931157,2025-05-15,1.2672,1.5583,-0.3900,7.8204,6.3694
007751,931157,2025-05-16,1.2641,1.5552,-0.2400,7.8396,6.4399
007751,931157,2025-05-19,1.2645,1.5556,0.0300,7.8371,6.4261
007751,931157,2025-05-20,1.2691,1.5602,0.3600,7.8087,6.4019
007751,931157,2025-05-21,1.2774,1.5685,0.6500,7.7579,6.3489
007751,931157,2025-05-22,1.2804,1.5715,0.2300,7.7398,6.3261
007751,931157,2025-05-23,1.2730,1.5641,-0.5800,7.7848,6.3876
007751,931157,2025-05-26,1.2666,1.5577,-0.5000,7.8241,6.3964
007751,931157,2025-05-27,1.2689,1.5600,0.1800,7.8099,6.4005
007751,931157,2025-05-28,1.2722,1.5633,0.2600,7.7897,6.3735
007751,931157,2025-05-29,1.2743,1.5654,0.1700,7.7768,6.3549
007751,931157,2025-05-30,1.2770,1.5681,0.2100,7.7604,6.3412
007751,931157,2025-06-03,1.2939,1.5850,1.3200,7.6590,6.2186
007751,931157,2025-06-04,1.2985,1.5896,0.3600,7.6319,6.1989
007751,931157,2025-06-05,1.2912,1.5823,-0.5600,7.6750,6.2356
007751,931157,2025-06-06,1.2937,1.5848,0.1900,7.6602,6.2164
007751,931157,2025-06-09,1.3022,1.5933,0.6600,7.6102,6.1317
007751,931157,2025-06-10,1.3066,1.5977,0.3400,7.5846,6.1205
007751,931157,2025-06-11,1.3128,1.6039,0.4700,7.5488,6.1422
007751,931157,2025-06-12,1.3151,1.6062,0.1800,7.5355,6.2018
007751,931157,2025-06-13,1.3058,1.5969,-0.7100,7.5892,6.2745
007751,931157,2025-06-16,1.3090,1.6001,0.2500,7.5707,5.8537
007751,931157,2025-06-17,1.3066,1.5977,-0.1800,7.5846,5.8673
007751,931157,2025-06-18,1.3082,1.5993,0.1200,7.5753,5.8352
007751,931157,2025-06-19,1.2990,1.5901,-0.7000,7.6289,5.8625
007751,931157,2025-06-20,1.3071,1.5982,0.6200,7.5817,5.7813
007751,931157,2025-06-23,1.3091,1.6002,0.1500,7.5701,5.7702
007751,931157,2025-06-24,1.3163,1.6074,0.5500,7.5287,5.7248
007751,931157,2025-06-25,1.3235,1.6146,0.5500,7.4877,5.9778
007751,931157,2025-06-26,1.3260,1.6171,0.1900,7.4736,5.9731
007751,931157,2025-06-27,1.3126,1.6037,-1.0100,7.5499,5.8215
007751,931157,2025-06-30,1.3049,1.5960,-0.5900,7.5945,5.8953
007751,931157,2025-07-01,1.3130,1.6041,0.6200,7.5476,5.8688
007751,931157,2025-07-02,1.3210,1.6121,0.6100,7.5019,5.8243
007751,931157,2025-07-03,1.3217,1.6128,0.0500,7.4979,5.7791
007751,931157,2025-07-04,1.3012,1.6206,0.5900,9.7910,5.7169
007751,931157,2025-07-07,1.3035,1.6229,0.1800,9.7737,4.9861
007751,931157,2025-07-08,1.3033,1.6227,-0.0200,7.9107,4.9790
007751,931157,2025-07-09,1.3041,1.6235,0.0600,7.9058,4.8138
007751,931157,2025-07-10,1.3147,1.6341,0.8100,7.8421,4.8176
007751,931157,2025-07-11,1.3074,1.6268,-0.5600,7.8859,5.0839
007751,931157,2025-07-14,1.3154,1.6348,0.6100,7.8379,4.7276
007751,931157,2025-07-15,1.3078,1.6272,-0.5800,7.8835,4.7348
007751,931157,2025-07-16,1.3076,1.6270,-0.0200,7.8847,4.7717
007751,931157,2025-07-17,1.3050,1.6244,-0.2000,7.9004,4.7838
007751,931157,2025-07-18,1.3123,1.6317,0.5600,7.8564,4.4496
007751,931157,2025-07-21,1.3156,1.6350,0.2500,7.8367,4.4479
007751,931157,2025-07-22,1.3189,1.6383,0.2500,7.8171,4.4632
007751,931157,2025-07-23,1.3189,1.6383,0.0000,7.8171,4.4493
